mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
2.9725489139556887,0.037654567726953886,0.04430718421936035,0.0016046630886678492,7,50,"{'max_depth': 7, 'n_estimators': 50}",0.9261824208525827,0.9200136634084023,0.9283136206046182,0.9291324510724918,0.9209513820428574,0.927140750382582,0.9257260253520698,0.929828161826704,0.9245814727513245,0.9256493459289922,0.9257519294222625,0.0030671504803004403,24
5.832445168495179,0.04175544047459106,0.0894500732421875,0.010702664379734715,7,100,"{'max_depth': 7, 'n_estimators': 100}",0.9243675886087611,0.9194158165985745,0.9267333312585583,0.9270400662844668,0.9176911033691207,0.926509364142785,0.9251033257247988,0.9254208391479382,0.9224360804366966,0.9266488813807379,0.9241366396952436,0.0031060243265665197,25
8.812694025039672,0.053579733166588,0.1254429817199707,0.0036530722355478606,7,150,"{'max_depth': 7, 'n_estimators': 150}",0.9285865346661839,0.9252762113227843,0.9279897486464975,0.9288982946538699,0.9245081489119947,0.9281310307330418,0.9280119491195379,0.9279112029251397,0.9266714754348113,0.9259187162377661,0.9271903312651626,0.0014258117632236233,23
11.623349952697755,0.15348122351315138,0.16717925071716308,0.005708353135238118,7,200,"{'max_depth': 7, 'n_estimators': 200}",0.9303243045168053,0.9269390944924959,0.9292584452634918,0.9302761883096397,0.9263034826355877,0.9300011398028013,0.9291135044295773,0.9292217194363138,0.9277984604271107,0.929259857889444,0.9288496197203265,0.001315947387552257,22
14.162391018867492,0.26211007804140557,0.20708446502685546,0.009002288561590643,7,250,"{'max_depth': 7, 'n_estimators': 250}",0.9302098616373339,0.9269429289769849,0.9302982421794294,0.9321639242296541,0.9263636199482685,0.9301198894496613,0.9294758023957977,0.9284428561794434,0.9286669823227377,0.9297174434415183,0.929240155076083,0.0016180694124600008,21
3.23066930770874,0.05148480001514255,0.0523836612701416,0.00242713196553133,9,50,"{'max_depth': 9, 'n_estimators': 50}",0.9424508413180405,0.9420493318738211,0.941079836827165,0.9485045788226767,0.9425179739339579,0.944738585650532,0.9474109138623138,0.9433938544789088,0.9436712540479192,0.946752601231119,0.9442569772046454,0.002383102022155732,20
6.335005569458008,0.08357859718189252,0.09854810237884522,0.001986377652009236,9,100,"{'max_depth': 9, 'n_estimators': 100}",0.9445473946564511,0.942619326307764,0.942609442854701,0.9470924407091861,0.9441819144417728,0.9455797091935706,0.9462112512665231,0.9444064748722827,0.9455816561521418,0.9466577430186379,0.9449487353473032,0.0014781885535646046,19
9.455183601379394,0.07971677401023515,0.14628748893737792,0.005655177842423933,9,150,"{'max_depth': 9, 'n_estimators': 150}",0.9438138594816823,0.9431401981245263,0.9429603615128683,0.9474653668137102,0.9437148464420345,0.9467736335802398,0.9462111345899524,0.9445128217043051,0.9448092593814853,0.947473608012026,0.9450875089642828,0.0016638532643606324,18
12.447224020957947,0.09678384360873414,0.1932610511779785,0.0035603243758236423,9,200,"{'max_depth': 9, 'n_estimators': 200}",0.9451157156843428,0.9442291884912773,0.9425088039523692,0.9474761299830229,0.9445412870139233,0.9466434011079724,0.9453656130970388,0.9442665921547212,0.9450474999616064,0.94747216770614,0.9452666399152415,0.001480893774762245,16
15.823976826667785,0.1648426702180722,0.26123652458190916,0.005800670940447859,9,250,"{'max_depth': 9, 'n_estimators': 250}",0.9447474286614322,0.9444726215706507,0.9425989170175216,0.9467552239786782,0.9444151431074838,0.9466384284699133,0.9463102689461115,0.944396015166213,0.9445612446104467,0.9474856929506014,0.9452380984479053,0.0014177554742197463,17
3.5708696126937864,0.060226893711909445,0.06322877407073975,0.002199953583694045,11,50,"{'max_depth': 11, 'n_estimators': 50}",0.948924221355553,0.9524377676527799,0.9495182306385125,0.9561583269095323,0.9524684339663395,0.9531265625159208,0.9542028096645166,0.9509402860698262,0.9521179947563859,0.9543648333764798,0.9524259466905847,0.0021061554544110285,15
7.045407032966613,0.07421605435568292,0.12297067642211915,0.0026414169477904465,11,100,"{'max_depth': 11, 'n_estimators': 100}",0.9503426590082538,0.9542147152356383,0.9498874983672714,0.957090112860396,0.9529324980604631,0.9534003051696031,0.9548818248504599,0.9526088660618474,0.9529223868718587,0.9543511318412524,0.9532631998327042,0.001998789000155023,14
10.583013677597046,0.11595258013055632,0.18117659091949462,0.0025745729614548678,11,150,"{'max_depth': 11, 'n_estimators': 150}",0.950930202870488,0.9544626864177413,0.9502464794203327,0.9578006077049764,0.9538864496110845,0.9541106619908879,0.9546438432049592,0.9540193653884966,0.9531527849576068,0.955069930524323,0.9538323012090896,0.0020048095539161805,11
13.961833786964416,0.11351958728849242,0.24245226383209229,0.004058355752354668,11,200,"{'max_depth': 11, 'n_estimators': 200}",0.9512831800211222,0.9544535628757908,0.9503514958463675,0.9579179108854271,0.9531685317605497,0.953277958041251,0.9541579720368677,0.9532927630137292,0.9533902428807441,0.9549689285881381,0.9536262545949988,0.0019467930491846356,12
17.456591510772704,0.16588566878484093,0.3087958335876465,0.013202982842766543,11,250,"{'max_depth': 11, 'n_estimators': 250}",0.9512713148077054,0.9546879064196641,0.9497595480525667,0.9574605514700485,0.9530514321372837,0.9538815616272975,0.9542796417261602,0.9536473078538927,0.9530431379550551,0.9550864638984478,0.9536168865948123,0.001990487808623576,13
