mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
2.5484798192977904,0.15360946665828232,0.01338510513305664,0.003509764720881568,0.001,7,50,0,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
5.376480150222778,0.584213218112122,0.01775200366973877,0.0029831102837696733,0.001,7,100,0,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
8.078354358673096,0.6908878970103158,0.023119473457336427,0.003047131989600369,0.001,7,150,0,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 150, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
13.859312081336975,1.0992438453287001,0.046927142143249514,0.014265134769052435,0.001,7,200,0,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 200, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
14.679685974121094,1.2423338109957516,0.052317237854003905,0.015676029886018704,0.001,7,250,0,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 250, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
3.1563063144683836,0.29117682813708484,0.010811758041381837,0.000574435542081218,0.001,9,50,0,"{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 50, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
6.198054361343384,0.5135392880004388,0.01817314624786377,0.0018675197698330198,0.001,9,100,0,"{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 100, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
8.711452507972718,0.6328880102837395,0.024421381950378417,0.0016415988814935316,0.001,9,150,0,"{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 150, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
11.58697829246521,0.865037043625262,0.03331758975982666,0.0008635566581366357,0.001,9,200,0,"{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 200, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
14.3408784866333,0.8873170159111218,0.04484403133392334,0.002733026438847427,0.001,9,250,0,"{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 250, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
3.1468082666397095,0.24914875877424755,0.011336255073547363,0.0009414658110390079,0.001,11,50,0,"{'learning_rate': 0.001, 'max_depth': 11, 'n_estimators': 50, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
6.2404700756073,0.523424482494844,0.01772284507751465,0.002045510867597657,0.001,11,100,0,"{'learning_rate': 0.001, 'max_depth': 11, 'n_estimators': 100, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
9.042404723167419,0.8114514731050982,0.023906469345092773,0.0019705822730469733,0.001,11,150,0,"{'learning_rate': 0.001, 'max_depth': 11, 'n_estimators': 150, 'verbose': 0}",0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23991218650822058,0.23992936235204276,0.23992936235204276,0.23991562167698502,6.8703375288747825e-06,96
